-38983	-30324	-29543
-38960	-30342	-29591
-38781	-30480	-29457
-38758	-30498	-29505
-38672	-31492	-30468
-38495	-31642	-31293
-38490	-31868	-31138
-38393	-32159	-32134
-38364	-32656	-32178
-38354	-33198	-30996
-38338	-32832	-32133
-38284	-32779	-32290
-38264	-32005	-32540
-38243	-33361	-32254
-38235	-32502	-32584
-38209	-32557	-32306
-38180	-33054	-32350
-38172	-32195	-32680
-38154	-33230	-32305
-38100	-33177	-32462
-38092	-32318	-32792
-38062	-33400	-31660
-38055	-33691	-31798
-38051	-32900	-32756
-37999	-33834	-31166
-37995	-33506	-32326
-37921	-33190	-32840
-37915	-32137	-32841
-37912	-33507	-32006
-37898	-33976	-31931
-37868	-33244	-33024
-37839	-33523	-32309
-37837	-33260	-32695
-37834	-33465	-32428
-37826	-33457	-32639
-37822	-33651	-32333
-37738	-33721	-32188
-37733	-34037	-31161
-37723	-31676	-33343
-37706	-33515	-32433
-37697	-31932	-33049
-37639	-34156	-32532
-37593	-31865	-33190
-37554	-31748	-33257
-37542	-33951	-32818
-37537	-33893	-32937
-37503	-33526	-33087
-37470	-32669	-33164
-37459	-32999	-33105
-37440	-33700	-33256
-37410	-32722	-33399
-37406	-34116	-33067
-37377	-34395	-32352
-37374	-32408	-33510
-37369	-32791	-33422
-37349	-33121	-33257
-37344	-31740	-33642
-37341	-33188	-33408
-37333	-34221	-32481
-37293	-34465	-32207
-37288	-34776	-31250
-37287	-31808	-33669
-37284	-33717	-33239
-37279	-33659	-33358
-37272	-34845	-30131
-37272	-32134	-33596
-37271	-33772	-33170
-37267	-33744	-33278
-37264	-32943	-33489
-37260	-34186	-32960
-37251	-32998	-33420
-37248	-34271	-32880
-37245	-34647	-31445
-37245	-33970	-33213
-37229	-32217	-33740
-37191	-34530	-32103
-37190	-33815	-33374
-37182	-34144	-33382
-37182	-33464	-33429
-37177	-33385	-33444
-37174	-34497	-32502
-37164	-34288	-32812
-37123	-34905	-31223
-37113	-33853	-33418
-37099	-34145	-33062
-37091	-34498	-32182
-37090	-32957	-33522
-37034	-33442	-33491
-37032	-34806	-32124
-37026	-34161	-33365
-37021	-33423	-33531
-37013	-34456	-32604
-37007	-34923	-30953
-37003	-34247	-32914
-37e3	-32325	-33618
-36996	-34836	-31251
-36965	-32956	-33552
-36954	-34129	-33439
-36952	-34295	-32685
-36950	-34958	-30126
-36945	-34479	-32964
-36940	-34421	-33083
-36933	-34564	-32884
-36932	-34824	-32767
-36928	-34506	-33003
-36923	-34993	-30808
-36919	-33829	-33570
-36902	-33130	-33721
-36874	-30790	-33996
-36872	-35241	-31984
-36870	-35407	-31230
-36867	-34437	-33386
-36859	-34850	-32146
-36855	-34297	-33544
-36849	-32060	-33794
-36848	-35204	-32296
-36843	-35146	-32415
-36842	-34817	-32940
-36814	-34542	-33212
-36811	-32551	-33722
-36760	-34105	-33591
-36759	-34399	-33396
-36752	-32545	-33818
-36746	-34919	-32792
-36746	-33147	-33704
-36741	-33089	-33823
-36701	-34631	-33446
-36696	-34573	-33565
-36687	-35163	-32398
-36687	-32143	-33956
-36675	-34745	-33003
-36674	-34257	-33579
-36635	-33311	-33660
-36630	-33733	-33664
-36621	-35596	-31036
-36621	-33482	-33777
-36610	-35480	-31804
-36596	-31564	-33957
-36591	-32504	-33920
-36580	-35301	-31985
-36571	-33779	-33634
-36567	-35351	-31999
-36565	-35181	-32868
-36540	-34590	-33548
-36533	-34218	-33688
-36531	-32160	-33939
-36526	-35550	-31659
-36522	-35052	-33063
-36510	-35137	-32983
-36488	-34296	-33613
-36483	-35421	-31854
-36466	-35195	-32431
-36459	-32276	-33967
-36452	-33554	-33691
-36445	-32725	-34010
-36434	-34812	-33385
-36431	-35607	-31852
-36430	-32773	-34011
-36410	-31999	-34261
-36397	-33487	-33740
-36394	-33243	-33918
-36369	-33778	-33694
-36368	-33984	-33784
-36358	-33167	-33965
-36350	-34882	-33240
-36340	-35743	-30739
-36335	-35709	-31704
-36323	-31507	-34333
-36294	-33635	-33939
-36286	-33001	-34031
-36284	-35328	-32571
-36277	-33687	-33808
-36273	-35241	-32869
-36261	-33652	-33989
-36256	-35813	-30594
-36252	-34218	-33788
-36218	-34511	-33692
-36213	-35733	-31128
-36213	-34604	-33832
-36200	-35398	-32426
-36188	-34686	-33762
-36179	-32256	-34153
-36177	-33722	-33844
-36170	-35884	-31550
-36166	-35271	-32607
-36165	-35826	-31669
-36162	-35932	-31965
-36141	-35789	-31981
-36118	-35454	-32383
-36111	-35842	-31975
-36108	-35370	-32842
-36103	-35496	-32039
-36086	-35607	-32367
-36083	-36146	-29901
-36083	-32912	-34242
-36077	-35948	-31524
-36058	-35280	-32912
-36055	-35985	-31343
-36054	-36051	-30332
-36028	-35447	-32556
-36026	-31020	-34404
-36025	-34331	-33885
-36024	-36104	-30326
-36002	-35677	-32222
-35998	-32777	-34289
-35992	-35388	-32572
-35972	-33556	-34083
-35971	-34881	-33533
-35962	-31488	-34378
-35946	-33945	-33993
-35939	-36124	-31473
-35932	-35549	-32408
-35927	-33634	-34008
-35924	-36208	-31473
-35910	-33136	-34123
-35908	-35458	-32427
-35903	-36065	-31489
-35901	-35939	-31899
-35895	-36113	-31904
-35887	-35261	-33062
-35886	-35521	-32945
-35882	-34413	-33967
-35873	-35126	-33369
-35873	-31983	-34358
-35870	-33325	-34092
-35868	-35219	-33509
-35843	-36226	-31325
-35827	-35464	-33177
-35825	-35614	-32301
-35816	-36327	-29840
-35796	-35718	-32366
-35788	-35766	-32781
-35784	-35599	-33038
-35772	-35939	-32275
-35772	-35321	-33361
-35764	-31373	-34458
-35753	-33765	-34186
-35751	-35796	-32291
-35750	-31495	-34418
-35743	-35844	-32706
-35743	-32388	-34479
-35724	-36122	-32051
-35721	-35650	-32918
-35719	-34058	-34090
-35688	-35701	-32890
-35683	-31416	-34662
-35676	-36279	-31043
-35675	-33898	-34140
-35674	-34136	-34015
-35660	-34671	-33767
-35655	-35604	-33028
-35647	-35023	-33520
-35647	-32582	-34328
-35646	-35283	-33403
-35642	-35116	-33660
-35633	-32992	-34428
-35627	-34024	-34157
-35617	-36237	-31468
-35601	-35361	-33328
-35594	-36415	-31131
-35578	-35653	-32983
-35575	-33025	-34439
-35550	-33104	-34209
-35546	-35218	-33512
-35521	-36339	-31320
-35505	-36120	-32214
-35494	-36033	-32512
-35480	-36456	-30814
-35475	-36311	-31857
-35465	-34429	-33923
-35464	-33669	-34280
-35432	-36182	-32052
